Table name,State,District,Area Name,Age-group,Birth place ,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
D0201A,07,000,State - NCT OF DELHI,All ages,Total Population,"16,787,941","8,987,326","7,800,615","419,042","226,321","192,721","16,368,899","8,761,005","7,607,894"
D0201A,07,000,State - NCT OF DELHI,All ages,Born within India,"16,583,290","8,880,795","7,702,495","417,339","225,413","191,926","16,165,951","8,655,382","7,510,569"
D0201A,07,000,State - NCT OF DELHI,All ages,Within the state of enumeration,"10,144,530","5,505,470","4,639,060","270,146","163,834","106,312","9,874,384","5,341,636","4,532,748"
D0201A,07,000,State - NCT OF DELHI,All ages,Born in the place of enumeration,"9,672,193","5,284,891","4,387,302","246,757","157,568","89,189","9,425,436","5,127,323","4,298,113"
D0201A,07,000,State - NCT OF DELHI,All ages,Born elsewhere in the district of enumeration,"472,337","220,579","251,758","23,389","6,266","17,123","448,948","214,313","234,635"
D0201A,07,000,State - NCT OF DELHI,All ages,Born in other districts of the state,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,All ages,States in India beyond the state of enumeration,"6,438,760","3,375,325","3,063,435","147,193","61,579","85,614","6,291,567","3,313,746","2,977,821"
D0201A,07,000,State - NCT OF DELHI,All ages,Jammu & Kashmir,"36,854","18,371","18,483",241,129,112,"36,613","18,242","18,371"
D0201A,07,000,State - NCT OF DELHI,All ages,Himachal Pradesh,"82,652","43,188","39,464",945,505,440,"81,707","42,683","39,024"
D0201A,07,000,State - NCT OF DELHI,All ages,Punjab,"247,856","116,374","131,482","1,472",726,746,"246,384","115,648","130,736"
D0201A,07,000,State - NCT OF DELHI,All ages,Chandigarh,"6,567","2,598","3,969",56,16,40,"6,511","2,582","3,929"
D0201A,07,000,State - NCT OF DELHI,All ages,Uttarakhand,"310,472","162,695","147,777","7,118","3,742","3,376","303,354","158,953","144,401"
D0201A,07,000,State - NCT OF DELHI,All ages,Haryana,"658,972","268,459","390,513","40,154","5,579","34,575","618,818","262,880","355,938"
